objectid,element,iiifthumburl
46161,painted surface,"https://api.nga.gov/iiif/5db0c5c0-77d5-4a5d-b368-3faf633abe52/full/!200,200/0/default.jpg"
46177,painted surface,"https://api.nga.gov/iiif/e09f2884-f3ed-4275-a572-ea5a35769030/full/!200,200/0/default.jpg"
50662,painted surface,"https://api.nga.gov/iiif/f7d5354b-f6bc-44a3-8403-07f609a4c743/full/!200,200/0/default.jpg"
50726,painted surface,"https://api.nga.gov/iiif/187aebc3-ef48-4f5f-8dd2-8b5c74b298ab/full/!200,200/0/default.jpg"
69272,painted surface,"https://api.nga.gov/iiif/59b6d336-9b6e-4ff2-9035-aa3186003fbc/full/!200,200/0/default.jpg"
76207,painted surface,"https://api.nga.gov/iiif/6b98db43-3aba-41b0-9b4a-a13ec1cfaf14/full/!200,200/0/default.jpg"
76208,painted surface,"https://api.nga.gov/iiif/7bcebb1e-489c-4b9a-8773-9cd2bfec09e4/full/!200,200/0/default.jpg"
35,painted surface,"https://api.nga.gov/iiif/0913b166-8770-4215-a3c5-b89b606e0f02/full/!200,200/0/default.jpg"
37004,painted surface,"https://api.nga.gov/iiif/c2d64bdd-cb82-4772-b1eb-01b2a9b54d24/full/!200,200/0/default.jpg"
41676,painted surface,"https://api.nga.gov/iiif/0d202b87-f85d-418a-8462-da6bec43b714/full/!200,200/0/default.jpg"
46170,painted surface,"https://api.nga.gov/iiif/40067869-f92c-459c-9808-2d3ae3009311/full/!200,200/0/default.jpg"
284,painted surface,"https://api.nga.gov/iiif/b546eb51-99f0-4986-9706-0e3c618bc51f/full/!200,200/0/default.jpg"
357,painted surface,"https://api.nga.gov/iiif/1b266771-5762-4ce0-8968-688cae2ba81e/full/!200,200/0/default.jpg"
46090,painted surface,"https://api.nga.gov/iiif/312e50b3-c177-4469-801f-35a718c9d00d/full/!200,200/0/default.jpg"
183,painted surface,"https://api.nga.gov/iiif/789d7bcb-9bb2-4fdc-b049-1c9e8ebcce51/full/!200,200/0/default.jpg"
184,painted surface,"https://api.nga.gov/iiif/650a41a5-07b7-4e38-ad6c-668c64b919d3/full/!200,200/0/default.jpg"
46101,painted surface,"https://api.nga.gov/iiif/33f1330d-2ca0-4f9c-97c9-ee767667d64c/full/!200,200/0/default.jpg"
41683,painted surface,"https://api.nga.gov/iiif/a1b1e147-fe90-4f24-9224-002beb38f85e/full/!200,200/0/default.jpg"
12143,painted surface,"https://api.nga.gov/iiif/2f890ae3-3eae-41d3-8ada-6210ea87ea27/full/!200,200/0/default.jpg"
34,painted surface,"https://api.nga.gov/iiif/6c812e1a-db84-4ec1-98cf-ad67e177a4fc/full/!200,200/0/default.jpg"
46103,painted surface,"https://api.nga.gov/iiif/2714014d-4f30-40d1-861e-76ad75b798ca/full/!200,200/0/default.jpg"
13,painted surface,"https://api.nga.gov/iiif/8e81c3c7-f5c7-4832-888a-9469d9890bed/full/!200,200/0/default.jpg"
892,painted surface,"https://api.nga.gov/iiif/80e3e601-d1dc-48bf-9063-3f7f14143e04/full/!200,200/0/default.jpg"
893,painted surface,"https://api.nga.gov/iiif/ec0b342e-1f6f-421f-840d-1532eb529d6c/full/!200,200/0/default.jpg"
12111,painted surface,"https://api.nga.gov/iiif/02e91ca8-f02b-4ca7-bb23-49d640cc02f4/full/!200,200/0/default.jpg"
46176,painted surface,"https://api.nga.gov/iiif/9f21df3d-5266-44a1-ac35-daf58157fec9/full/!200,200/0/default.jpg"
402,painted surface,"https://api.nga.gov/iiif/19f544a4-cb58-4450-87d2-a4affa623869/full/!200,200/0/default.jpg"
41675,painted surface,"https://api.nga.gov/iiif/9ef95c4f-b934-4d3f-9cba-426efb78bb75/full/!200,200/0/default.jpg"
41626,painted surface,"https://api.nga.gov/iiif/1776edff-237b-411e-b28e-940e253398c1/full/!200,200/0/default.jpg"
167923,painted surface,"https://api.nga.gov/iiif/1911d50b-a4fd-4e32-a20c-cc2a613a33bb/full/!200,200/0/default.jpg"
198423,painted surface,"https://api.nga.gov/iiif/d525e201-d47c-40ed-9309-1d44ed1ff1ab/full/!200,200/0/default.jpg"
